"Dzień dobry! (rano)","Guten Morgen!"
"wagon restauracyjny","der Speisewagen"
"poczekalnia","der Warteraum"
"sprawdzać","kontrollieren"
"sypialny","der Schlafwagen"
"kuszetka","der Liegewagen"
"pójść po bagaż / odebrać bagaż","das Gepäck abholen"
"restauracja","das Restaurant"
"tartak","das Sägewerk"
"zamek","das Schloss"
"basen odkryty","das Schwimmbad"
"krawężnik","die Bordkante"
"solarium","das Sonnenstudio"
"browar","die Brauerei"
"stadion","das Stadion"
"urząd stanu cywilnego","das Standesamt"
"księgarnia","die Buchhandlung"
"zamek (warowny)","die Burg"
"akademik","das Studentenwohnheim"
"taksówka","das Taxi"
"teatr","das Theater"
"droga dla rowerów","die Fahrradstraße"
"wodociągi","das Wasserwerk"
"straż pożarna","die Feuerwehr"
"świetlica","der Aufenthaltsraum"
"wieża widokowa","der Aussichtsturm"
"przystanek","die Haltestelle"
"potok (strumyk)","der Bach"
"schronisko młodzieżowe","die Jugendherberge"
"dworzec kolejowy","der Bahnhof"
"kaplica","die Kapelle"
"gospodarstwo rolne","der Bauernhof"
"koszary","die Kaserne"
"ogródek piwny","der Biergarten"
"żłobek (dla dzieci)","die Kinderkrippe"
"przedszkole","der Kindergarten"
"chodnik","der Bürgersteig"
"kościół","die Kirche"
"autobus","der Bus"
"knajpa","die Kneipe"
"dworzec autobusowy","der Busbahnhof"
"cukiernia","die Konditorei"
"katedra","der Dom"
"skrzyżowanie","die Kreuzung"
"pchli targ","der Flohmarkt"
"słup ogłoszeniowy","die Litfaßsäule"
"lotnisko","der Flughafen"
"stołówka akademicka","die Mensa"
"rzeka","der Fluss"
"rzeźnia","die Metzgerei[sound:rec1327117696 (1).mp3"
"park wypoczynkowy","der Freizeitpark"
"młyn","die Mühle"
"cmentarz","der Friedhof"
"wysypisko śmieci","die Mülldeponie"
"przejście dla pieszych","der Fußägängerübergang"
"pensjonat","die Pension"
"przychodnia","die Ambulanz, die Poliklinik"
"tramwaj","die Straßenbahn"
"policja","die Polizei"
"stacja benzynowa","die Tankstelle"
"szybka kolej podmiejska","die S-Bahn"
"strzelnica sportowa (buda)","die Schielßbude"
"metro","die U-Bahn"
"szkoła","die Schule"
"stacja metra","die U-Bahnstation"
"basen kryty","die Schwimmhalle"
"uniwersytet","die Universität"
"mur miejski","die Stadtmauer"
"pralnia","die Wäscherei"
"straż miejska","die Stadtpolizei"
"winiarnia","die Weinstube"
"urząd miasta","die Stadtverwaltung"
"przejście dla pieszych (zebra)","die Zebrastreifen"
"ulica","die Straße"
"światła sygnalizacji ulicznej","die Ampel"
"więzienie","das Gefängnis"
"pałac","der Palast"
"sąd","das Gericht"
"park","der Park"
"sklep","das Geschäft"
"parking","der Parkplatz"
"gimnazjum","das Gymnasium"
"pływalnia (halowa)","das Hallenbad"
"piaskownica","der Sandkasten"
"ciepłownia","das Heizwerk"
"szlaban","der Schlagbaum"
"hotel","das Hotel"
"ogródek działkowy","der Schrebergarten"
"internat","das Internat"
"jezioro","der See"
"staw","der Teich"
"dom towarowy","das Warenhaus"
"plac zabaw","der Spielplatz"
"klub sportowy","der Sportklub"
"kino","das Kino"
"fontanna","der Springbrunnen"
"klasztor","das Kloster"
"kładka","der Steg"
"szpital","das Krankenhaus"
"postój taksówek","der Taxistand"
"kamienica","das Mietshaus"
"opera (budynek)","das Opernhaus"
"fosa","der Wassergraben"
"parking (budynek)","das Parkhaus"
"wieża ciśnień","der Wasserturm"
"komenda policji","das Polizeipräisidium"
"pole namiotowe","der Zeltplatz"
"komisariat","das Polizeirevier"
"urząd pocztowy","das Postamt"
"poczta","die Post"
"apteka","die Apotheke"
"ratusz","das Rathaus"
"piekarnia","die Bäckerei"
"biuro podróży","das Reisebüro"
"pralnia chemiczna","chemische Reinigung"
"bankomat","der Geldautomat"
"dom starców","das Altenheim"
"port","der Hafen"
"urząd pracy","das Arbeitsamt"
"buda z żarciem","der Imbiss"
"salon samochodowy","das Autohaus"
"kanał","der Kanal"
"kawiarnia","das Cafe"
"pomnik","das Denkmal"
"kiosk","der Kiosk"
"elektrownia","das Elektrowerk"
"sala koncertowa","der Konzertsaal"
"urząd skarbowy","das Finanzamt"
"sklep (nie Geschäft)","der Laden"
"otwarte kąpielisko","das Freibad"
"czytelnia","der Lesesaal"
"gazownia","das Gaswerk"
"rynek","der Marktplatz"
"firma budowlana","die Baufirma"
"biblioteka","die Bibliothek"
"cafeteria","die Cafeteria"
"ulica jednokierunkowa","die Einbahnstraße"
"chleb","das Brot"
"bułka","das Brötchen"
"rogalik","das Hörnchen"
"bagietka","die Baguette"
"bułka w Austrii","die Semmel"
"chleb pełnoziarnisty","das Vollkornbrot"
"chleb biały","das Weißbrot"
"chleb czarny","das Schwarzbrot"
"chleb żytni","das Roggenbrot"
"pieczywo","das Gebäck"
"piekarz","der Bäcker"
"cukiernik","der Konditor"
"bochenek","der Laib"
"kromka","die Schnitte"
"chleb cebulowy","das Zwiebelbrot"
"chleb kminkowy","das Kümmelbrot"
"pieczywo chrupkie","das Knäckebrot"
"suchar","der Zwieback"
"bułka tarta","das Paniermehl"
"okruchy chleba","die Brotkrümel"
"skórka od chleba","die Brotrinde"
"piętka od chleba","die Brotkuppe"
"mąka","das Mehl"
"piec chleb","Brot backen"
"kroić chleb","Brot schneiden"
"suchy chleb","trockenes Brot"
"cukierek","das Bonbon"
"piwo","das Bier"
"jajko","das Ei"
"mięso","das Fleisch"
"kurczak","das Hähnchen"
"rogal","das Hörnchen"
"jogurt","das Joghurt"
"kotlet","das Kotelett"
"woda mineralna","das Mineralwasser"
"sól","das Salz"
"kapusta kiszona","das Sauerkraut"
"smalec","das Schmalz"
"kotlet / sznycel","das Schnitzel"
"bimber","das Selbstgebrannte"
"keczup","der Ketschup"
"wędlina (krojona do chleba)","der Aufschnitt"
"ryba","der Fisch"
"dżin","der Gin"
"kasza manna","der Grieß"
"miód","der Honig"
"kawa","der Kaffee"
"kakao","der Kakao"
"ser żółty","der Käse"
"chrzan","der Meerrettich"
"ser biały","der Quark"
"śmietana","der Rahm"
"ryż","der Reis"
"rum","der Rum"
"szynka","der Schinken"
"batonik","der Schokoladenriegel"
"słonina","der Speck"
"spirytus","der Spiritus"
"woda gazowana","der Sprudel"
"herbata","der Tee"
"wino","der Wein"
"whisky","der Whisky"
"wódka","der Wodka"
"cukier","der Zucker"
"parówka","die Bockwurst"
"masło","die Butter"
"cola","die Cola"
"fanta","die Fanta"
"kotlet pożarski","die Frikadelle"
"kasza gryczana","die Buchweizengrütze"
"płatki owsiane","die Haferflocken"
"ziemniak","die Kartoffel"
"konfitury","die Konfitüre"
"płatki kukurydziane","die Maisflocken"
"margaryna","die Margarine"
"majonez","die Majonäse"
"mleko","die Milch"
"pizza","die Pizza"
"frytki","die Pommes"
"żeberka","die Rippchen"
"śmietanka","die Sahne"
"salami","die Salami"
"kwaśne mleko","die Sauermilch"
"czekolada","die Schokolade"
"sos","die Soße"
"kiełbasa","die Wurst"
"alkoholik","der Alkoholiker"
"alergolog","der Allergologe"
"spiker","der Ansager"
"malarz pokojowy","der Anstreicher"
"aptekarz","der Apotheker"
"architekt","der Architekt"
"lekarz","der Arzt"
"okulista","der Augenarzt"
"sprzedawca samochodów","der Autohändler"
"brzuchomówca","der Bauchredner"
"pomocnik budowlany","der Bauhelfer"
"bibliotekarz","der Bibliothekar"
"sprawozdawca, reporter","der Berichterstatter, der Reporter"
"rzeźbiarz","der Bildhauer"
"biskup","der Bischof"
"ochroniarz osobisty","der Bodyguard"
"listonosz","der Briefträger"
"introligator","der Buchbinder"
"gliniarz","der Bulle"
"chirurg","der Chirurg"
"projektant","der Designer"
"poeta","der Dichter"
"złodziej","der Dieb"
"dyrektor","der Direktor"
"dyrygent","der Dirigent"
"tłumacz (ustny)","der Dolmetscher"
"tokarz","der Dreher"
"drukarz","der Drucker"
"technik komputerowy","der EDV-Techniker"
"lodziarz","der Eismann"
"instalator elektryczny","der Elektroinstallateur"
"kontroler biletów","der Fahrkartenkontrolleur"
"komandos","der Fallschirmjäger"
"kierowca TIR-a","der Fernfahrer"
"strażak","der Feuerwehrmann"
"rzeźnik","der Fleischer"
"kafelkarz","der Fliesenleger"
"kontroler lotów","der Fluglotse"
"fotograf","der Fotograf"
"ginekolog","der Frauenarzt"
"technik RTV","der Funk- und Fernsehtechniker"
"ogrodnik","der Gärtner"
"karczmarz","der Gastwirt"
"pomocnik","der Gehilfe, der Helfer"
"skrzypek","der Geiger"
"generał","der General"
"szklarz","der Glaser"
"grafik","der Graphiker"
"kanar","der Häscher"
"woźny","der Hausmeister"
"snajper","der Heckenschütze"
"oszust matrymonialny","der Heiratsschwindler"
"palacz","der Heizer"
"kat","der Henker"
"inżynier","der Ingenieur"
"internista","der Internist"
"myśliwy","der Jäger"
"dziennikarz","der Journalist"
"prawnik","der Jurist"
"radca prawny","der Justitiar"
"kamerzysta","der Kameramann"
"kardynał","der Kardinal"
"kasjer","der Kassierer"
"kupiec","der Kaufmann"
"kelner","der Kellner"
"mechanik samochodowy","der Kfz-Mechaniker"
"hydraulik","der Klempner"
"kucharz","der Koch"
"komendant","der Kommandant"
"kompozytor","der Komponist"
"operator dźwigu","der Kranführer"
"kuśnierz","der Kürschner"
"magazynier","der Lagerist"
"rolnik","der Landwirt"
"nauczyciel","der Lehrer"
"kierownik","der Leiter"
"kierowca ciężarówki","der LKW-Fahrer"
"maszynista (kolej)","der Lokführer"
"malarz (artysta)","der Maler"
"manager","der Manager"
"masażysta","der Masseur"
"marynarz","der Matrose"
"murarz","der Maurer"
"mleczarz","der Milchmann"
"moderator","der Moderator"
"mnich","der Mönch"
"morderca","der Mörder"
"młynarz","der Müller"
"śmieciarz","der Müllmann"
"notariusz","der Notar"
"sadownik","der Obstgärtner"
"zdun","der Ofensetzer"
"papież","der Papst"
"farmaceuta","der Pharmazeut"
"pilot","der Pilot"
"policjant","der Polizist"
"portier","der Portier"
"ksiądz","der Priester"
"profesor","der Professor"
"psychiatra","der Psychiater"
"planista","der Raumplaner"
"adwokat","der Rechtsanwalt"
"reżyser","der Regisseur"
"reporter","der Reporter"
"sędzia","der Richter"
"śpiewak","der Sänger"
"moczymorda","der Säufer"
"aktor","der Schauspieler"
"ślusarz","der Schlosser"
"kowal","der Schmied"
"przemytnik, szmugler","der Schmuggler"
"krawiec","der Schneider"
"ławnik","der Schöffe"
"kominiarz","der Schornsteinfeger"
"stolarz","der Schreiner"
"pisarz","der Schriftsteller"
"szewc","der Schuhmacher (Schuster)"
"strzelec","der Schütze"
"sekretarz","der Sekretär"
"seksuolog","der Sexologe"
"zboczeniec","der Sittenstrolch"
"żołnierz","der Soldat"
"blacharz","der Spengler"
"szpieg","der Spion"
"prokurator","der Staatsanwalt"
"doradca podatkowy","der Steuerberater"
"zamiatacz ulic","der Straßenfeger"
"kaskader","der Stuntman(n)"
"pracownik stacji benzynowej","der Tankwart"
"tancerz","der Tänzer"
"złodziej kieszonkowy","der Taschendieb"
"taksówkarz","der Taxifahrer"
"weterynarz","der Tierarzt"
"garncarz","der Töpfer"
"pijak","der Trinker"
"tłumacz (zazwyczaj tekstów)","der Übersetzer"
"zegarmistrz","der Uhrmacher"
"sprzedawca","der Verkäufer"
"strażnik","der Wächter"
"tkacz","der Weber"
"właściciel winnicy","der Winzer (Weinbauer)"
"technik dentystyczny","der Zahntechniker"
"stręczyciel, alfons","der Zuhälter"
"lekarka","die Ärztin"
"opiekunka do dzieci","die Babysitterin"
"fryzjerka","die Friseuse"
"gospodyni domowa","die Hausfrau"
"kasjerka","die Kassiererin"
"przedszkolanka","die Kindergärtnerin"
"kucharka","die Köchin"
"pielęgniarka","die Krankenschwester"
"masażystka","die Masseuse"
"zakonnica","die Nonne"
"prostytutka","die Prostituierte"
"sprzątaczka","die Putzfrau"
"sprzątaczka, “konserwatorka powierzchni płaskich“","die Raumpflegerin"
"sekretarka","die Sekretärin"
"pies","der Hund"
"suka","die Hündin"
"kocur / kac","der Kater"
"kociątko","das Kätzchen"
"chomik","der Hamster"
"świnka morska","das Meerschweinchen"
"kanarek","der Kanarienvogel"
"papuga","der Papagei"
"złota rybka","der Goldfisch"
"szczur","die Ratte"
"mysz","die Maus"
"wąż","die Schlange"
"pająk","die Spinne"
"osa","die Wespe"
"pszczoła","die Biene"
"szerszeń","die Hornisse"
"giez bydlęcy / hamulec","die Bremse"
"mrówka","die Ameise"
"dżdżownica","der Regenwurm"
"stonoga","der Tausendfüßler"
"żółw","die Schildkröte"
"koń","das Pferd"
"klacz","die Stute"
"źrebak","das Fohlen"
"świnia","das Schwein"
"knur","der Eber"
"ogier","der Hengst"
"ropucha","die Kröte"
"żaba","der Frosch"
"bocian","der Storch"
"czapla","der Reiher"
"żuraw","der Kranich"
"sarna","das Reh"
"jeleń","der Hirsch"
"krowa","die Kuh"
"byk","der Stier"
"bawół / kujon","der Büffel"
"osioł","der Esel"
"koza","die Ziege"
"kozioł","der Bock"
"kaczka","die Ente"
"gęś","die Gans"
"kura","das Huhn"
"kogut","der Hahn"
"wróbel","der Spatz"
"sroka","die Elster"
"kruk","der Rabe"
"wrona","die Krähe"
"gawron","die Saatkrähe"
"kret","der Maulwurf"
"żmija","die Natter"
"łasica","das Wiesel"
"kuna","der Marder"
"słoń","der Elefant"
"zebra","das Zebra"
"lew","der Löwe"
"gepard","der Leopard"
"nosorożec","das Nashorn"
"wiewiórka","das Eichhörnchen"
"zięba","der Fink"
"dzięcioł","der Specht"
"niedźwiedź","der Bär"
"wilk","der Wolf"
"królik","das Kaninchen"
"zając","der Hase"
"bóbr","der Biber"
"lis","der Fuchs"
"wieloryb","der Walfisch"
"rekin","der Haifisch"
"śledź","der Hering"
"pstrąg","die Forelle"
"szczupak","der Hecht"
"węgorz","der Aal"
"gołąb","die Taube"
"słowik","die Nachtigall"
"skowronek","die Lerche"
"sowa","die Eule"
"komar","die Mücke"
"mucha","die Fliege"
"dzik","das Wildschwein"
"szarańcza","die Heuschrecke"
"nietoperz","die Fledermaus"
"pchła","der Floh"
"wesz / wsza","die Laus"
"pluskwa","die Wanze"
"karaluch","der Kakerlak"
"żuk / chrząszcz","der Käfer"
"biedronka","der Siebenpunkt"
"chrabąszcz","der Maikäfer"
"robaczek świętojański","das Glühwürmchen"
"jeż","der Igel"
"kangur","das Känguru"
"krokodyl","das Krokodil"
"ośmiornica","der Krake"
"dinozaur","der Dinosaurier"
"mamut","das Mammut"
"tygrys","der Tiger"
"hipopotam","das Nilpferd"
"struś","der Strauß"
"orzeł","der Adler"
"sokół","der Falke"
"sęp","der Geier"
"żyrafa","die Giraffe"
"hiena","die Hyäne"
"szakal","der Schakale"
"rak","der Krebs"
"skorpion","der Skorpion"
"skorek/szczypawica","der Ohrwurm"
"ślimak","die Schnecke"
"motyl","der Schmetterling"
"ćma","der Nachtfalter"
"grzechotnik","die Klapperschlange"
"suseł / świstak","das Murmeltier"
"foka","die Robbe"
"łabędź","der Schwan"
"małpa","der Affe"
"żubr","der Wisent"
"wielbłąd","das Kamel"
"głowa","der Kopf"
"ciemię / przedziałek","der Scheitel"
"twarz","das Gesicht"
"czoło","die Stirn"
"skroń","die Schläfe"
"oko","das Auge"
"kość jarzmowa","das Jochbein"
"policzek (nie Backe)","die Wange"
"nos","die Nase"
"usta","der Mund"
"podbródek","das Kinn"
"ucho","das Ohr"
"szyja / gardło","der Hals"
"kark","der Nacken"
"tułów","der Rumpf"
"bark","die Schulter"
"łopatka","das Schulterblatt"
"krzyż","das Kreuz"
"pacha","die Achsel"
"włosy pod pachą","die Achselhaare"
"pierś","die Brust"
"klatka piersiowa","der Brustkorb"
"brodawka piersiowa","die Brustwarze"
"biust","der Busen"
"talia","die Taille"
"biodro","die Hüfte"
"pępek","der Nabel"
"brzuch","der Bauch"
"podbrzusze","der Unterleib"
"pachwina","die Leistenbeuge"
"wzgórek łonowy","der Schamhügel"
"siedzenie (tyłek)","das Gesäß"
"ramię","der Arm"
"dłoń","die Hand"
"pięść","die Faust"
"noga","das Bein"
"udo","der Schenkel"
"kolano","das Knie"
"łydka","die Wade"
"stopa","der Fuß"
"ząb","der Zahn"
"warga","die Lippe"
"powieka","das Augenlid"
"język","die Zunge"
"szczęka","der Kiefer"
"penis","der Penis"
"dupa","der Arsch"
"cipa","die Fotze"
"pisior","der Pimmel"
"chuj","der Schwanz"
"bez","der Flieder"
"trawa","das Gras"
"zioło / kapusta","das Kraut"
"konwalia","das Maiglöckchen"
"mech","das Moos"
"rzodkiewka","das Radieschen"
"rzeżucha","das Schaumkraut"
"fiołek","das Veilchen"
"niezapominajka","das Vergissmeinnicht"
"klon","der Ahorn"
"jabłoń","der Apfelbaum"
"grusza","der Birnbaum"
"kalafior","der Blumenkohl"
"koper","der Dill"
"bluszcz","der Efeu"
"paproć","der Farn"
"fikus","der Gummibaum"
"owies","der Hafer"
"chmiel","der Hopfen"
"kaktus","der Kaktus"
"koniczyna","der Klee"
"czosnek","der Knoblauch"
"kminek","der Kümmel"
"dynia","der Kürbis"
"modrzew","die Lärche"
"szczypior(ek)","der Lauch"
"laur","der Lorbeer"
"mlecz / mniszek lekarski","der Löwenzahn"
"kukurydza","der Mais"
"majeranek","der Majoran"
"mak","der Mohn"
"gałka muszkatołowa","der Muskat"
"papryka","der Paprika"
"pieprz","der Pfeffer"
"brzoskwinia","der Pfirsich"
"rzepak","der Raps"
"rabarbar","der Rhabarber"
"żyto","der Roggen"
"sałata","der Salat"
"gorczyca","der Senf"
"ananas","die Ananas"
"morela","die Aprikose"
"banan","die Banane"
"drzewa","die Bäume"
"brzoza","die Birke"
"gruszka","die Birne"
"jagoda leśna","die Blaubeere"
"fasola","die Bohne"
"pokrzywa","die Brennessel"
"jeżyny","die Brombeeren"
"daktyle","die Datteln"
"dąb","die Eiche"
"groch","die Erbse"
"truskawka","die Erdbeere"
"orzeszki ziemne","die Erdnüsse"
"osika","die Espe"
"figa","die Feige"
"stokrotka","die Gänseblume"
"jęczmień","die Gerste"
"grejfrut","die Grapefruit"
"ogórek","die Gurke"
"orzech laskowy","die Haselnuss"
"porzeczka","die Johannisbeere"
"rumianek","die Kamille"
"marchewka","die Karotte"
"czereśnia","die Kirsche"
"kiwi","die Kiwi"
"łopian (“dziady”)","die Klette"
"orzech kokosowy","die Kokosnuss"
"lipa","die Linde"
"soczewica","die Linse"
"migdał","die Mandel"
"margerytki / złocień / jastrun","die Margeriten"
"kasztan jadalny","die Marone"
"morwa","die Maulbeere"
"jemioła","die Mistel"
"nektarynka","die Nektarine"
"orzech","die Nuss"
"pomarańcza","die Orange"
"pietruszka","die Petersilie"
"piwonia","die Pfingstrose"
"roślina","die Pflanze"
"śliwka","die Pflaume"
"przebiśnieg / śnieżyczka / prymulka","die Primel"
"perz","die Quecke"
"róża","die Rose"
"szałwia","die Salbei"
"szczaw","die Sauerampfer"
"wiśnia","die Sauerkirsche"
"seler","die Sellerie"
"słonecznik","die Sonnenblume"
"szparagi","die Spargeln"
"agrest","die Stachelbeere"
"jodła","die Tanne"
"tulipan","die Tulpe"
"poziomki","die Walderdbeeren"
"lilia wodna","die Wasserlilie"
"arbuz","die Wassermelone"
"rzepa","die Wasserrübe"
"wierzba","die Weide"
"winogrona","die Weintrauben"
"cytryna","die Zitrone"
"burak cukrowy","die Zuckerrübe"
"cebula","die Zwiebel"
